Metodo,Fold,Accuracy,F1_Score,ROC_AUC,Tiempo_Entrenamiento_s,Tiempo_Evaluacion_s,Max_RAM_GB,Avg_CPU_Percent,Max_VRAM_GB
REFINED,1,87.5,87.37068194021836,93.36734693877551,831.1772677999998,6.470651200000248,0.7479896545410156,395.5865476190476,0
REFINED,2,86.30952380952381,86.19950712525447,90.84548104956268,825.0914994000004,5.856712299999344,0.7652473449707031,396.40821428571434,0
REFINED,3,84.52380952380952,84.46878111221731,91.65093654711777,845.8964563,9.079511799999636,0.7611465454101562,396.12940476190477,0
REFINED,4,88.69047619047619,88.43436356389725,93.16828807898939,1066.365627000001,8.085355300001538,0.7157096862792969,388.58202380952383,0
REFINED,5,83.23353293413174,82.96415039347129,88.60088365243004,963.2533776,5.7407899999998335,0.7412452697753906,391.9809523809524,0
